,word,word-score,round_score
9902,reincarnate,3.909487,3.91
9917,cafeteria,3.906637,3.91
458,restaurant,3.858201,3.86
5536,wasteland,3.856632,3.86
5275,academy,3.835064,3.84
9770,galaxy,3.829049,3.83
11491,arena,3.812999,3.81
185,musician,2.044952,2.04
3111,dinosaur,1.995423,2
6623,machine,1.992078,1.99
14003,warship,1.989035,1.99
6953,warrior,1.981378,1.98
13543,magic,1.976538,1.98
7212,alien,1.97231,1.97
6530,tournament,1.967702,1.97
2657,gangster,1.963691,1.96
4106,athlete,1.955188,1.96
10517,phantom,1.939785,1.94
6744,combat,1.939304,1.94
9033,dragon,1.931136,1.93
7617,game,1.930965,1.93
5674,squad,1.930263,1.93
10898,ocean,1.928612,1.93
2256,race,1.921525,1.92
9563,camp,1.918472,1.92
2334,urban,1.914803,1.91
11845,competition,0.190389,0.19
1454,mission,0.164813,0.16
6928,stepsister,0.1644,0.16
4621,experiment,0.163625,0.16
12579,cybernetics,0.144955,0.14
3828,countryside,0.136677,0.14
8817,science,0.11868,0.12
3151,soldier,0.113557,0.11
2464,zombie,0.113356,0.11
948,insect,0.106849,0.11
2686,gunfire,0.102966,0.1
3108,genius,0.102599,0.1
5206,kingdom,0.102205,0.1
2939,builder,0.10094,0.1
362,sniper,0.10087,0.1
13059,bicycle,0.098071,0.1
6103,driver,0.097981,0.1
3036,police,0.094841,0.09
8105,killer,0.087503,0.09
9182,knight,0.087296,0.09
2813,fish,0.086064,0.09
11980,witch,0.085329,0.09
5470,goddess,0.084683,0.08
4220,overpower,0.079924,0.08
9367,idol,0.077001,0.08
5824,clubhouse,0.07003,0.07
1258,surgery,0.057337,0.06
3559,concert,0.056959,0.06
6576,dungeon,0.05494,0.05
